name,link,description,price,image,features,main_category,sub_category
아모스프로페셔널 퓨어스마트 프레시 샴푸 500g,https://prod.danawa.com/info/?pcode=6421367&cate=18313515,지성 두피로 과다 분비되는 유분 케어,27800,//img.danawa.com/prod_img/500000/367/421/img/6421367_1.jpg?shrink=130:130&_v=20240220131540,"['샴푸', '지성두피', '비듬케어', '유분케어', '펌프형']",샴푸,일반샴푸
케라시스 데미지 클리닉 샴푸 980ml,https://prod.danawa.com/info/?pcode=17280203&cate=18313515,,5970,//img.danawa.com/prod_img/500000/203/280/img/17280203_1.jpg?shrink=130:130&_v=20230331145650,"['샴푸', '약산성(pH4.5~6.5)', '펌프형']",샴푸,일반샴푸
암웨이 새티니크 스무드 모이스처 샴푸 750ml,https://prod.danawa.com/info/?pcode=31267568&cate=18313515,,24880,//img.danawa.com/prod_img/500000/568/267/img/31267568_1.jpg?shrink=130:130&_v=20231213162217,"['샴푸', '펌프형']",샴푸,일반샴푸
려 진생보 두피모발영양 샴푸 400ml,https://prod.danawa.com/info/?pcode=17437322&cate=18313515,,7140,//img.danawa.com/prod_img/500000/322/437/img/17437322_1.jpg?shrink=130:130&_v=20230512124250,"['샴푸', '중건성두피']",샴푸,일반샴푸
더마앤모어 판테놀 두피 비듬 케어 샴푸 600ml,https://prod.danawa.com/info/?pcode=13621232&cate=18313515,,4810,//img.danawa.com/prod_img/500000/232/621/img/13621232_1.jpg?shrink=130:130&_v=20210317094134,"['샴푸', '약산성(pH4.5~6.5)', '비듬케어', '설페이트프리', '실리콘프리', '파라벤프리']",샴푸,일반샴푸
케라시스 데미지 클리닉 샴푸 600ml,https://prod.danawa.com/info/?pcode=11642858&cate=18313515,,3690,//img.danawa.com/prod_img/500000/858/642/img/11642858_1.jpg?shrink=130:130&_v=20240129134404,"['샴푸', '손상모발', '펌프형']",샴푸,일반샴푸
댕기머리 서린 샴푸 리필 2L,https://prod.danawa.com/info/?pcode=4680136&cate=18313515,,11330,//img.danawa.com/prod_img/500000/136/680/img/4680136_1.jpg?shrink=130:130&_v=20230517161608,"['샴푸', '리필 대용량', '파우치형']",샴푸,일반샴푸
미라화장품 더블모 어성초 샴푸 1000g,https://prod.danawa.com/info/?pcode=5641653&cate=18313515,,8270,//img.danawa.com/prod_img/500000/653/641/img/5641653_1.jpg?shrink=130:130&_v=20221201174724,"['샴푸', '비듬케어', '대용량', '펌프형']",샴푸,일반샴푸
엘라스틴 퍼퓸 러브미 샴푸 600ml,https://prod.danawa.com/info/?pcode=5429784&cate=18313515,,5700,//img.danawa.com/prod_img/500000/784/429/img/5429784_1.jpg?shrink=130:130&_v=20190503161539,"['샴푸', '펌프형']",샴푸,일반샴푸
하야시 시스템 히노키 샴푸 1000ml,https://prod.danawa.com/info/?pcode=3180433&cate=18313515,,41910,//img.danawa.com/prod_img/500000/433/180/img/3180433_1.jpg?shrink=130:130&_v=20170510134319,"['샴푸', '지성두피', '대용량', '캡형']",샴푸,일반샴푸
